Park_Code,Name,Designation,States,Latitude,Longitude,Description,URL
AB_LAKELOUISE,Lake Louise,Scenic Lake,Alberta,51.4254,-116.1773,"Iconic turquoise glacial lake in Banff National Park. One of the most photographed lakes in Canada and the world, surrounded by mountains and glaciers.",https://www.banfflakelouise.com
AB_MORAINELAKE,Moraine Lake,Scenic Lake,Alberta,51.3274,-116.1865,"Stunning glacial lake in the Valley of the Ten Peaks. One of the most photographed places in Canada, famous for its brilliant blue-green water.",https://www.banfflakelouise.com
AB_ATHABASCA,Athabasca Falls,Waterfall,Alberta,52.6667,-117.8833,"Powerful waterfall on the Athabasca River in Jasper National Park. One of the most photographed waterfalls in Alberta.",https://www.pc.gc.ca/en/pn-np/ab/jasper
BC_VANCOUVER,Vancouver Skyline,City Skyline,British Columbia,49.2827,-123.1207,"Stunning skyline with mountains and ocean backdrop. One of the most photographed cityscapes in British Columbia.",https://www.tourismvancouver.com
BC_CAPILANO,Capilano Suspension Bridge,Landmark,British Columbia,49.3428,-123.1147,"Famous suspension bridge over Capilano River. One of the most photographed landmarks in Vancouver, British Columbia.",https://www.capbridge.com
BC_BUTCHART,Butchart Gardens,Gardens,British Columbia,48.5697,-123.4686,"World-famous gardens with stunning floral displays. One of the most photographed gardens in Canada.",https://www.butchartgardens.com
MB_POLARBEAR,Polar Bear Capital,Wildlife Viewing,Manitoba,58.7681,-94.1750,"Churchill, known as the polar bear capital of the world. One of the most photographed wildlife destinations in Manitoba.",https://www.travelmanitoba.com
NB_HOPEWELL,Hopewell Rocks,Natural Landmark,New Brunswick,45.8125,-64.5833,"Famous flowerpot rocks shaped by tidal erosion. One of the most photographed natural landmarks in New Brunswick.",https://www.thehopewellrocks.ca
NL_GROSMORNE,Gros Morne National Park,National Park,Newfoundland and Labrador,49.6833,-57.7833,"Stunning fjords and dramatic landscapes. One of the most photographed national parks in Newfoundland and Labrador.",https://www.pc.gc.ca/en/pn-np/nl/grosmorne
NL_ICEBERG,ICEBERG ALLEY,Scenic Route,Newfoundland and Labrador,51.5000,-55.5000,"Famous route where icebergs drift south. One of the most photographed natural phenomena in Newfoundland and Labrador.",https://www.newfoundlandlabrador.com
NS_PEGGYS,Peggy's Cove,Historic Lighthouse,Nova Scotia,44.4925,-63.9167,"Iconic lighthouse on granite rocks. One of the most photographed lighthouses in Canada and a symbol of Nova Scotia.",https://www.peggyscove.ca
NS_CABOT,Cabot Trail,Scenic Drive,Nova Scotia,46.7333,-60.6500,"Famous coastal drive through Cape Breton Highlands. One of the most photographed scenic drives in Nova Scotia.",https://www.cabottrail.com
NT_NAHANNI,Nahanni National Park,National Park,Northwest Territories,61.6000,-125.8500,"Remote wilderness with Virginia Falls. One of the most photographed wilderness areas in Northwest Territories.",https://www.pc.gc.ca/en/pn-np/nt/nahanni
NU_AURORA,Northern Lights Viewing,Aurora Borealis,Nunavut,64.7500,-95.0000,"Prime location for viewing the aurora borealis. One of the most photographed natural phenomena in Nunavut.",https://www.nunavuttourism.com
ON_NIAGARA,Niagara Falls,Waterfall,Ontario,43.0962,-79.0377,"World-famous waterfall on the US-Canada border. One of the most photographed waterfalls in the world and Ontario's top attraction.",https://www.niagarafalls.ca
ON_CNTOWER,CN Tower,Landmark,Ontario,43.6426,-79.3871,"Iconic 553-meter tower in Toronto. One of the most photographed landmarks in Canada and a symbol of Toronto.",https://www.cntower.ca
ON_THOUSAND,Thousand Islands,Scenic Area,Ontario,44.3500,-75.9833,"Stunning archipelago in the St. Lawrence River. One of the most photographed scenic areas in Ontario.",https://www.1000islandstourism.com
PE_GREEN,Gables House,Historic Site,Prince Edward Island,46.4167,-63.0833,"Famous Green Gables house from Anne of Green Gables. One of the most photographed historic sites in Prince Edward Island.",https://www.pc.gc.ca/en/lhn-nhs/pe/greengables
QC_OLDQUEBEC,Old Quebec,Historic District,Quebec,46.8139,-71.2080,"UNESCO World Heritage site with European charm. One of the most photographed historic districts in Canada.",https://www.quebec-cite.com
QC_MONTREAL,Notre-Dame Basilica,Historic Church,Quebec,45.5046,-73.5563,"Stunning Gothic Revival basilica in Montreal. One of the most photographed churches in Quebec.",https://www.basiliquenotredame.ca
SK_GRASSLANDS,Grasslands National Park,National Park,Saskatchewan,49.1167,-107.4333,"Vast prairie with dark sky preserve. One of the most photographed prairie landscapes in Saskatchewan.",https://www.pc.gc.ca/en/pn-np/sk/grasslands
YT_KLUANE,Kluane National Park,National Park,Yukon,60.5667,-138.4000,"Home to Canada's highest peak, Mount Logan. One of the most photographed wilderness areas in Yukon.",https://www.pc.gc.ca/en/pn-np/yt/kluane

