Park_Code,Name,Designation,States,Latitude,Longitude,Description,URL,Country,UNESCO_Year
L_ANSE,L'Anse aux Meadows National Historic Site,UNESCO World Heritage Site (Cultural),Newfoundland and Labrador,51.6000,-55.5333,"L'Anse aux Meadows National Historic Site - UNESCO World Heritage Site. Only authenticated Norse site in North America, evidence of Viking presence around 1000 CE.",https://whc.unesco.org/en/list/4,Canada,1978
NAHANNI,Nahanni National Park,UNESCO World Heritage Site (Natural),Northwest Territories,61.6000,-125.8500,"Nahanni National Park - UNESCO World Heritage Site. Remote wilderness with Virginia Falls, deep canyons, and pristine rivers in the Mackenzie Mountains.",https://whc.unesco.org/en/list/24,Canada,1978
DINOSAUR,Dinosaur Provincial Park,UNESCO World Heritage Site (Natural),Alberta,50.7667,-111.4833,"Dinosaur Provincial Park - UNESCO World Heritage Site. One of the world's richest dinosaur fossil sites with over 150 complete skeletons discovered.",https://whc.unesco.org/en/list/71,Canada,1979
KLUANE,Kluane / Wrangell-St. Elias / Glacier Bay / Tatshenshini-Alsek,UNESCO World Heritage Site (Natural),Yukon,60.5667,-138.4000,"Kluane National Park - UNESCO World Heritage Site. Transboundary park with Canada's highest peak (Mount Logan) and vast icefields.",https://whc.unesco.org/en/list/72,Canada,1979
HEAD_SMASHED,Head-Smashed-In Buffalo Jump,UNESCO World Heritage Site (Cultural),Alberta,49.7500,-113.6333,"Head-Smashed-In Buffalo Jump - UNESCO World Heritage Site. Prehistoric buffalo hunting site used for over 5,500 years by Indigenous peoples.",https://whc.unesco.org/en/list/158,Canada,1981
SGANG_GWAAY,SGang Gwaay,UNESCO World Heritage Site (Cultural),British Columbia,52.1000,-131.2167,"SGang Gwaay (Anthony Island) - UNESCO World Heritage Site. Haida village site with the largest collection of Haida totem poles in their original locations.",https://whc.unesco.org/en/list/157,Canada,1981
WOOD_BUFFALO,Wood Buffalo National Park,UNESCO World Heritage Site (Natural),"Alberta, Northwest Territories",59.3833,-112.9833,"Wood Buffalo National Park - UNESCO World Heritage Site. Canada's largest national park, home to the world's largest free-roaming bison herd.",https://whc.unesco.org/en/list/256,Canada,1983
CANADIAN_ROCKIES,Canadian Rocky Mountain Parks,UNESCO World Heritage Site (Natural),Alberta,51.1784,-115.5708,"Canadian Rocky Mountain Parks - UNESCO World Heritage Site. Seven parks including Banff, Jasper, Kootenay, and Yoho showcasing stunning mountain landscapes.",https://whc.unesco.org/en/list/304,Canada,1984
OLD_QUEBEC,Historic District of Old Québec,UNESCO World Heritage Site (Cultural),Quebec,46.8139,-71.2080,"Historic District of Old Québec - UNESCO World Heritage Site. Only fortified city north of Mexico, preserving French colonial architecture and fortifications.",https://whc.unesco.org/en/list/300,Canada,1985
GROS_MORNE,Gros Morne National Park,UNESCO World Heritage Site (Natural),Newfoundland and Labrador,49.6833,-57.7833,"Gros Morne National Park - UNESCO World Heritage Site. Spectacular fjords, mountains, and geological formations showcasing plate tectonics.",https://whc.unesco.org/en/list/419,Canada,1987
LUNENBURG,Old Town Lunenburg,UNESCO World Heritage Site (Cultural),Nova Scotia,44.3775,-64.3092,"Old Town Lunenburg - UNESCO World Heritage Site. Best surviving example of a planned British colonial settlement in North America.",https://whc.unesco.org/en/list/741,Canada,1995
WATERTON,Waterton-Glacier International Peace Park,UNESCO World Heritage Site (Natural),Alberta,49.0500,-113.9000,"Waterton-Glacier International Peace Park - UNESCO World Heritage Site. Transboundary park combining Waterton Lakes (Canada) and Glacier (US) National Parks.",https://whc.unesco.org/en/list/354,Canada,1995
MIGUASHA,Miguasha National Park,UNESCO World Heritage Site (Natural),Quebec,48.1000,-66.3667,"Miguasha National Park - UNESCO World Heritage Site. Exceptional fossil site from the Devonian period, known as the 'Age of Fishes'.",https://whc.unesco.org/en/list/686,Canada,1999
RIDEAU,Rideau Canal,UNESCO World Heritage Site (Cultural),Ontario,45.4250,-75.6950,"Rideau Canal - UNESCO World Heritage Site. Best-preserved example of a slackwater canal in North America, built in the early 19th century.",https://whc.unesco.org/en/list/1221,Canada,2007
