Park_Code,Name,Designation,States,Latitude,Longitude,Description,URL,Country,UNESCO_Year
KR_JONGMYO,Jongmyo Shrine,UNESCO World Heritage Site (Cultural),Seoul,37.5650,126.9931,"Jongmyo Shrine - UNESCO World Heritage Site. Royal Confucian shrine dedicated to the spirits of Joseon dynasty kings.",https://whc.unesco.org/en/list/738,South Korea,1995
KR_HAEIN,Haeinsa Temple Janggyeong Panjeon,UNESCO World Heritage Site (Cultural),South Gyeongsang,35.8014,128.0981,"Haeinsa Temple Janggyeong Panjeon - UNESCO World Heritage Site. Repository for the Tripitaka Koreana, the most complete collection of Buddhist texts.",https://whc.unesco.org/en/list/737,South Korea,1995
KR_SEOKGU,Seokguram Grotto and Bulguksa Temple,UNESCO World Heritage Site (Cultural),North Gyeongsang,35.7894,129.3319,"Seokguram Grotto and Bulguksa Temple - UNESCO World Heritage Site. Buddhist temple complex with exceptional stone sculptures.",https://whc.unesco.org/en/list/736,South Korea,1995
KR_CHANG,Changdeokgung Palace Complex,UNESCO World Heritage Site (Cultural),Seoul,37.5794,126.9911,"Changdeokgung Palace Complex - UNESCO World Heritage Site. Royal palace known for its harmony with nature and beautiful gardens.",https://whc.unesco.org/en/list/816,South Korea,1997
KR_HWASEONG,Hwaseong Fortress,UNESCO World Heritage Site (Cultural),Gyeonggi,37.2861,127.0108,"Hwaseong Fortress - UNESCO World Heritage Site. 18th-century military fortress showcasing Korean architectural innovation.",https://whc.unesco.org/en/list/817,South Korea,1997
KR_GOCHANG,Gochang, Hwasun and Ganghwa Dolmen Sites,UNESCO World Heritage Site (Cultural),"North Jeolla, Incheon",35.4333,126.6000,"Gochang, Hwasun and Ganghwa Dolmen Sites - UNESCO World Heritage Site. Prehistoric megalithic burial sites from the Bronze Age.",https://whc.unesco.org/en/list/977,South Korea,2000
KR_GYEONGJU,Gyeongju Historic Areas,UNESCO World Heritage Site (Cultural),North Gyeongsang,35.7894,129.3319,"Gyeongju Historic Areas - UNESCO World Heritage Site. Ancient capital of the Silla Kingdom with temples, tombs, and palaces.",https://whc.unesco.org/en/list/976,South Korea,2000
KR_JEJU,Jeju Volcanic Island and Lava Tubes,UNESCO World Heritage Site (Natural),Jeju,33.4996,126.5312,"Jeju Volcanic Island and Lava Tubes - UNESCO World Heritage Site. Volcanic island with Hallasan Mountain and extensive lava tube systems.",https://whc.unesco.org/en/list/1264,South Korea,2007
KR_ROYAL,Royal Tombs of the Joseon Dynasty,UNESCO World Heritage Site (Cultural),"Gyeonggi, Seoul, Gangwon",37.6000,127.2000,"Royal Tombs of the Joseon Dynasty - UNESCO World Heritage Site. Collection of 40 royal tombs from the Joseon dynasty.",https://whc.unesco.org/en/list/1319,South Korea,2009
KR_HISTORIC,Historic Villages of Korea: Hahoe and Yangdong,UNESCO World Heritage Site (Cultural),"North Gyeongsang",36.5389,128.5181,"Historic Villages of Korea - UNESCO World Heritage Site. Traditional Korean clan villages preserving Joseon dynasty architecture.",https://whc.unesco.org/en/list/1324,South Korea,2010
KR_NAMSAN,Namhansanseong,UNESCO World Heritage Site (Cultural),Gyeonggi,37.4800,127.1800,"Namhansanseong - UNESCO World Heritage Site. Mountain fortress serving as emergency capital during the Joseon dynasty.",https://whc.unesco.org/en/list/1439,South Korea,2014
KR_BAEKDAM,Baekje Historic Areas,UNESCO World Heritage Site (Cultural),"South Chungcheong, North Chungcheong",36.4611,127.1244,"Baekje Historic Areas - UNESCO World Heritage Site. Archaeological sites from the Baekje Kingdom.",https://whc.unesco.org/en/list/1477,South Korea,2015
KR_SANSA,Sansa, Buddhist Mountain Monasteries in Korea,UNESCO World Heritage Site (Cultural),"North Gyeongsang, South Chungcheong, South Gyeongsang",36.0000,128.0000,"Sansa, Buddhist Mountain Monasteries - UNESCO World Heritage Site. Seven ancient Buddhist mountain monasteries.",https://whc.unesco.org/en/list/1562,South Korea,2018
KR_SEOWON,Seowon, Korean Neo-Confucian Academies,UNESCO World Heritage Site (Cultural),"North Gyeongsang, South Chungcheong, North Chungcheong",36.5000,128.0000,"Seowon, Korean Neo-Confucian Academies - UNESCO World Heritage Site. Nine Neo-Confucian academies from the Joseon dynasty.",https://whc.unesco.org/en/list/1498,South Korea,2019
KR_GETBOL,Getbol, Korean Tidal Flats,UNESCO World Heritage Site (Natural),"South Jeolla, North Jeolla, South Chungcheong",35.0000,126.0000,"Getbol, Korean Tidal Flats - UNESCO World Heritage Site. Extensive tidal flat ecosystems supporting diverse marine life.",https://whc.unesco.org/en/list/1591,South Korea,2021
KR_GAYA,Gaya Tumuli,UNESCO World Heritage Site (Cultural),"South Gyeongsang, North Gyeongsang",35.5000,128.0000,"Gaya Tumuli - UNESCO World Heritage Site. Burial mounds from the Gaya Confederacy.",https://whc.unesco.org/en/list/1669,South Korea,2023
